Carrera,Porcentaje
Ingeniería en Sistemas de Información,17
Ingeniería en Informática,10
Licenciatura en Sistemas de Información,7
Analista de Sistemas,6
Licenciatura en Ciencias de la Computación,5
Licenciatura en Informática,5
Tecnicatura en Programación,5
Ingeniería Electrónica,4
Tecnicatura Superior en Programación,3
Diseño Gráfico,3
Ingeniería en Computación,2
Ingeniería Industrial,2
Licenciatura en Ciencia de Datos,2
Licenciatura en Administración,1
Licenciatura en Análisis de Sistemas,1
Tecnicatura Superior en Sistemas Informáticos,1
Ciberseguridad,1
Tecnicatura en Informática,1
Licenciatura en Ciencias de la Comunicación,1
Analista Universitario de Sistemas,1
Tecnicatura Superior en Análisis de Sistemas,1
Analista Programador,1
Diseño Multimedial,1
Analista de Computación,1
Ingeniería en Telecomunicaciones,1
Economía,1
Analista Programador Universitario,1
Ingeniería en Software,1
Tecnicatura en Sistemas,1
Docencia,1
Contaduría,0
Ingeniería Biomédica,0
Diseño de Imágen y Sonido,0
Diseño Industrial,0
Telecomunicaciones,0
Derecho,0
Tecnicatura en Computación,0
Inteligencia Artificial,0
Actuario,0
Ingeniería en Sonido,0
Otros,14
