Fecha publicacion,Pesos ARS,ARS constantes (IPC),USD oficial,USD blue,USD MEP
2016-08-01,20241,2293462,1359,1349,0
2017-02-01,24096,2509157,1525,1506,0
2017-09-01,32048,2932494,1857,1780,0
2018-03-01,35000,2869724,1732,1750,0
2018-09-04,42169,2941074,1142,1140,0
2019-02-15,50000,2825014,1296,1316,0
2019-08-15,61000,2755718,1113,1109,0
2020-02-02,73000,2682248,1205,986,0
2020-08-15,95300,3023641,1303,750,761
2021-02-15,110000,2968204,1238,759,745
2021-08-23,160000,3344871,1642,907,944
2022-02-21,188400,3242660,1759,910,943
2023-01-07,345000,3166301,1925,986,1046
2023-07-11,500000,3226636,1901,1014,1023
2024-06-24,1700000,2914886,1871,1295,1306
2025-02-04,2289156,3098127,2176,1916,1927
2025-08-08,2877951,3438878,2171,2201,2164
2026-03-04,3253581,3253581,2328,2324,2292
