Carrera,Seniority,p50,Confianza
Psicología Social,Senior,,Alta
Psicología Social,Junior,,Alta
Psicología Social,Semi-Senior,,Alta
Certificaciones de redes CCNA y de Google Cloud Architect,Senior,,Alta
Certificaciones de redes CCNA y de Google Cloud Architect,Junior,,Alta
Certificaciones de redes CCNA y de Google Cloud Architect,Semi-Senior,,Alta
Hr,Senior,,Alta
Hr,Junior,,Alta
Hr,Semi-Senior,,Alta
Analista de Sistemas,Senior,3900000,Alta
Analista de Sistemas,Junior,1350000,Baja
Analista de Sistemas,Semi-Senior,2175000,Alta
Ingeniería de Petróleo ,Senior,,Alta
Ingeniería de Petróleo ,Junior,,Alta
Ingeniería de Petróleo ,Semi-Senior,,Alta
Relaciones del Trabajo,Senior,3398500,Alta
Relaciones del Trabajo,Junior,,Alta
Relaciones del Trabajo,Semi-Senior,,Alta
Computador Universitario,Senior,,Alta
Computador Universitario,Junior,,Alta
Computador Universitario,Semi-Senior,,Alta
Tecnicatura universitaria en Redes Informáticas ,Senior,,Alta
Tecnicatura universitaria en Redes Informáticas ,Junior,,Alta
Tecnicatura universitaria en Redes Informáticas ,Semi-Senior,,Alta
Telecomunicaciones,Senior,934500,Baja
Telecomunicaciones,Junior,,Alta
Telecomunicaciones,Semi-Senior,3350000,Baja
Bachiller en Comunicaciones,Senior,,Alta
Bachiller en Comunicaciones,Junior,,Alta
Bachiller en Comunicaciones,Semi-Senior,,Alta
QA Tester,Senior,,Alta
QA Tester,Junior,,Alta
QA Tester,Semi-Senior,,Alta
Geofísica,Senior,,Alta
Geofísica,Junior,,Alta
Geofísica,Semi-Senior,3225000,Alta
Tecnicatura Superior en Programación,Senior,4577773,Baja
Tecnicatura Superior en Programación,Junior,1550000,Alta
Tecnicatura Superior en Programación,Semi-Senior,2450000,Baja
Musica,Senior,,Alta
Musica,Junior,,Alta
Musica,Semi-Senior,,Alta
Analista Programador. Universidad Nacional de La Pampa!,Senior,,Alta
Analista Programador. Universidad Nacional de La Pampa!,Junior,,Alta
Analista Programador. Universidad Nacional de La Pampa!,Semi-Senior,,Alta
Licenciatura en Letras,Senior,,Alta
Licenciatura en Letras,Junior,,Alta
Licenciatura en Letras,Semi-Senior,,Alta
Licenciatura en Tecnología Digital,Senior,,Alta
Licenciatura en Tecnología Digital,Junior,,Alta
Licenciatura en Tecnología Digital,Semi-Senior,,Alta
Licenciatura en gerencia de empresas,Senior,,Alta
Licenciatura en gerencia de empresas,Junior,,Alta
Licenciatura en gerencia de empresas,Semi-Senior,,Alta
Diseño Gráfico (Universidad Nacional de Misiones) Diplomatura en diseño UX/UI (UTN),Senior,,Alta
Diseño Gráfico (Universidad Nacional de Misiones) Diplomatura en diseño UX/UI (UTN),Junior,,Alta
Diseño Gráfico (Universidad Nacional de Misiones) Diplomatura en diseño UX/UI (UTN),Semi-Senior,,Alta
Licenciatura en Ciencias de la Comunicación,Senior,2764277,Baja
Licenciatura en Ciencias de la Comunicación,Junior,,Alta
Licenciatura en Ciencias de la Comunicación,Semi-Senior,,Alta
Analista de Computación,Senior,4500000,Baja
Analista de Computación,Junior,,Alta
Analista de Computación,Semi-Senior,,Alta
Ingenieria en Redes y Comunicaciones,Senior,,Alta
Ingenieria en Redes y Comunicaciones,Junior,,Alta
Ingenieria en Redes y Comunicaciones,Semi-Senior,,Alta
Tec sup en innovación con tecnologías 4.0,Senior,,Alta
Tec sup en innovación con tecnologías 4.0,Junior,,Alta
Tec sup en innovación con tecnologías 4.0,Semi-Senior,,Alta
Letras,Senior,,Alta
Letras,Junior,,Alta
Letras,Semi-Senior,,Alta
Antropología,Senior,,Alta
Antropología,Junior,,Alta
Antropología,Semi-Senior,,Alta
Marketing ,Senior,,Alta
Marketing ,Junior,,Alta
Marketing ,Semi-Senior,,Alta
Licenciatura en tecnologías digitales,Senior,,Alta
Licenciatura en tecnologías digitales,Junior,,Alta
Licenciatura en tecnologías digitales,Semi-Senior,,Alta
Licenciatura en Psicología,Senior,3310000,Baja
Licenciatura en Psicología,Junior,,Alta
Licenciatura en Psicología,Semi-Senior,,Alta
Licenciada (y doctora) en Astronomía,Senior,,Alta
Licenciada (y doctora) en Astronomía,Junior,,Alta
Licenciada (y doctora) en Astronomía,Semi-Senior,,Alta
Técnicatura Universitaria en Programación,Senior,,Alta
Técnicatura Universitaria en Programación,Junior,,Alta
Técnicatura Universitaria en Programación,Semi-Senior,,Alta
CPN,Senior,,Alta
CPN,Junior,,Alta
CPN,Semi-Senior,,Alta
Lic Recursos Humanos ,Senior,,Alta
Lic Recursos Humanos ,Junior,,Alta
Lic Recursos Humanos ,Semi-Senior,,Alta
arte,Senior,,Alta
arte,Junior,,Alta
arte,Semi-Senior,,Alta
Ingeniería en Telecomunicaciones,Senior,4900000,Baja
Ingeniería en Telecomunicaciones,Junior,,Alta
Ingeniería en Telecomunicaciones,Semi-Senior,,Alta
Diseño Industrial,Senior,2025000,Alta
Diseño Industrial,Junior,1800000,Alta
Diseño Industrial,Semi-Senior,1684122,Baja
Tecnico Universitario en Programacion,Senior,,Alta
Tecnico Universitario en Programacion,Junior,,Alta
Tecnico Universitario en Programacion,Semi-Senior,,Alta
Licenciatura en Gestión de la Información,Senior,4779235,Alta
Licenciatura en Gestión de la Información,Junior,,Alta
Licenciatura en Gestión de la Información,Semi-Senior,,Alta
Licenciatura en Relaciones Internacionales,Senior,,Alta
Licenciatura en Relaciones Internacionales,Junior,,Alta
Licenciatura en Relaciones Internacionales,Semi-Senior,,Alta
Ingeniería en Software,Senior,3800000,Baja
Ingeniería en Software,Junior,,Alta
Ingeniería en Software,Semi-Senior,,Alta
Diseño industrial,Senior,,Alta
Diseño industrial,Junior,,Alta
Diseño industrial,Semi-Senior,,Alta
TS Seguridad Laboral,Senior,,Alta
TS Seguridad Laboral,Junior,,Alta
TS Seguridad Laboral,Semi-Senior,,Alta
BACHILLER,Senior,,Alta
BACHILLER,Junior,,Alta
BACHILLER,Semi-Senior,,Alta
Tec. sup. En Innovación con Tecnologías 4.0,Senior,,Alta
Tec. sup. En Innovación con Tecnologías 4.0,Junior,,Alta
Tec. sup. En Innovación con Tecnologías 4.0,Semi-Senior,,Alta
Autodidacta,Senior,,Alta
Autodidacta,Junior,,Alta
Autodidacta,Semi-Senior,,Alta
Docencia,Senior,3250000,Baja
Docencia,Junior,,Alta
Docencia,Semi-Senior,2775861,Alta
Artes,Senior,,Alta
Artes,Junior,,Alta
Artes,Semi-Senior,,Alta
Tecnicatura Superior en Sistemas Informáticos,Senior,4500000,Baja
Tecnicatura Superior en Sistemas Informáticos,Junior,,Alta
Tecnicatura Superior en Sistemas Informáticos,Semi-Senior,3200000,Baja
Licenciatura en Redes,Senior,,Alta
Licenciatura en Redes,Junior,,Alta
Licenciatura en Redes,Semi-Senior,,Alta
Licenciatura en Fisica,Senior,,Alta
Licenciatura en Fisica,Junior,,Alta
Licenciatura en Fisica,Semi-Senior,,Alta
Ingeniería en Informática,Senior,5600000,Alta
Ingeniería en Informática,Junior,2996250,Baja
Ingeniería en Informática,Semi-Senior,3451650,Baja
Tecnico superior electrónica ,Senior,,Alta
Tecnico superior electrónica ,Junior,,Alta
Tecnico superior electrónica ,Semi-Senior,,Alta
Ingeniería de Gas,Senior,,Alta
Ingeniería de Gas,Junior,,Alta
Ingeniería de Gas,Semi-Senior,,Alta
Ninguna,Senior,,Alta
Ninguna,Junior,,Alta
Ninguna,Semi-Senior,,Alta
Licenciatura en gestión de Recursos Humanos,Senior,,Alta
Licenciatura en gestión de Recursos Humanos,Junior,,Alta
Licenciatura en gestión de Recursos Humanos,Semi-Senior,,Alta
Ciberseguridad,Senior,1603500,Baja
Ciberseguridad,Junior,,Alta
Ciberseguridad,Semi-Senior,1800000,Baja
Licenciatura en Física,Senior,,Alta
Licenciatura en Física,Junior,,Alta
Licenciatura en Física,Semi-Senior,,Alta
Licenciatura en Sociología,Senior,,Alta
Licenciatura en Sociología,Junior,,Alta
Licenciatura en Sociología,Semi-Senior,,Alta
Tecnicatura Superior en Análisis de Sistemas,Senior,4697149,Baja
Tecnicatura Superior en Análisis de Sistemas,Junior,1935500,Baja
Tecnicatura Superior en Análisis de Sistemas,Semi-Senior,,Alta
Ingeniería Electromecánica,Senior,,Alta
Ingeniería Electromecánica,Junior,,Alta
Ingeniería Electromecánica,Semi-Senior,,Alta
tecnico superior en redes informaticas,Senior,,Alta
tecnico superior en redes informaticas,Junior,,Alta
tecnico superior en redes informaticas,Semi-Senior,,Alta
licenciada en Sociología,Senior,,Alta
licenciada en Sociología,Junior,,Alta
licenciada en Sociología,Semi-Senior,,Alta
Ingeniería en Computación,Senior,6100500,Baja
Ingeniería en Computación,Junior,2254024,Baja
Ingeniería en Computación,Semi-Senior,3500000,Baja
Licenciatura en Administración,Senior,3812000,Baja
Licenciatura en Administración,Junior,3000000,Alta
Licenciatura en Administración,Semi-Senior,2000000,Baja
Tecnicatura superior Maestro Mayor de Obras,Senior,,Alta
Tecnicatura superior Maestro Mayor de Obras,Junior,,Alta
Tecnicatura superior Maestro Mayor de Obras,Semi-Senior,,Alta
Licenciatura en Ciencias Antropológicas,Senior,,Alta
Licenciatura en Ciencias Antropológicas,Junior,,Alta
Licenciatura en Ciencias Antropológicas,Semi-Senior,,Alta
