Lenguaje de Programación,Seniority,p50,Confianza,Dolarización
Arduino,Senior,3135984,Alta,No dolarizado
Arduino,Senior,5100000,Baja,Dolarizado
Arduino,Junior,1395771,Baja,No dolarizado
Arduino,Junior,,Alta,Dolarizado
Arduino,Semi-Senior,2179954,Baja,No dolarizado
Arduino,Semi-Senior,2467000,Baja,Dolarizado
VBA,Senior,3500000,Alta,No dolarizado
VBA,Senior,3669000,Baja,Dolarizado
VBA,Junior,1650000,Baja,No dolarizado
VBA,Junior,,Alta,Dolarizado
VBA,Semi-Senior,2845450,Alta,No dolarizado
VBA,Semi-Senior,4100000,Baja,Dolarizado
Rust,Senior,5295124,Baja,No dolarizado
Rust,Senior,10000000,Alta,Dolarizado
Rust,Junior,2077800,Baja,No dolarizado
Rust,Junior,,Alta,Dolarizado
Rust,Semi-Senior,2700000,Alta,No dolarizado
Rust,Semi-Senior,5450000,Baja,Dolarizado
CSS,Senior,3485500,Alta,No dolarizado
CSS,Senior,5100000,Alta,Dolarizado
CSS,Junior,1600000,Alta,No dolarizado
CSS,Junior,1500000,Baja,Dolarizado
CSS,Semi-Senior,2411000,Alta,No dolarizado
CSS,Semi-Senior,3000000,Alta,Dolarizado
C,Senior,3778711,Alta,No dolarizado
C,Senior,6250000,Baja,Dolarizado
C,Junior,1242997,Baja,No dolarizado
C,Junior,1050000,Baja,Dolarizado
C,Semi-Senior,2550000,Baja,No dolarizado
C,Semi-Senior,3409000,Baja,Dolarizado
.NET,Senior,3800000,Alta,No dolarizado
.NET,Senior,4500000,Alta,Dolarizado
.NET,Junior,1692500,Alta,No dolarizado
.NET,Junior,1792500,Baja,Dolarizado
.NET,Semi-Senior,2400000,Alta,No dolarizado
.NET,Semi-Senior,2785000,Baja,Dolarizado
Matlab,Senior,4075000,Baja,No dolarizado
Matlab,Senior,6650000,Baja,Dolarizado
Matlab,Junior,,Alta,No dolarizado
Matlab,Junior,,Alta,Dolarizado
Matlab,Semi-Senior,,Alta,No dolarizado
Matlab,Semi-Senior,,Alta,Dolarizado
Smalltalk,Senior,6485000,Alta,No dolarizado
Smalltalk,Senior,10430000,Alta,Dolarizado
Smalltalk,Junior,2478000,Alta,No dolarizado
Smalltalk,Junior,,Alta,Dolarizado
Smalltalk,Semi-Senior,2413840,Baja,No dolarizado
Smalltalk,Semi-Senior,,Alta,Dolarizado
Javascript,Senior,3795000,Alta,No dolarizado
Javascript,Senior,5685799,Alta,Dolarizado
Javascript,Junior,1671550,Alta,No dolarizado
Javascript,Junior,1700000,Alta,Dolarizado
Javascript,Semi-Senior,2500000,Alta,No dolarizado
Javascript,Semi-Senior,3100000,Alta,Dolarizado
SQL,Senior,3700000,Alta,No dolarizado
SQL,Senior,5525000,Alta,Dolarizado
SQL,Junior,1700000,Alta,No dolarizado
SQL,Junior,1765000,Alta,Dolarizado
SQL,Semi-Senior,2550774,Alta,No dolarizado
SQL,Semi-Senior,3211855,Alta,Dolarizado
Java,Senior,4500000,Alta,No dolarizado
Java,Senior,5280000,Alta,Dolarizado
Java,Junior,1728198,Alta,No dolarizado
Java,Junior,1500000,Alta,Dolarizado
Java,Semi-Senior,2912089,Alta,No dolarizado
Java,Semi-Senior,3187000,Alta,Dolarizado
Kotlin,Senior,4900000,Alta,No dolarizado
Kotlin,Senior,6559000,Alta,Dolarizado
Kotlin,Junior,,Alta,No dolarizado
Kotlin,Junior,,Alta,Dolarizado
Kotlin,Semi-Senior,2692661,Baja,No dolarizado
Kotlin,Semi-Senior,3212160,Baja,Dolarizado
Solidity,Senior,,Alta,No dolarizado
Solidity,Senior,8107993,Baja,Dolarizado
Solidity,Junior,,Alta,No dolarizado
Solidity,Junior,,Alta,Dolarizado
Solidity,Semi-Senior,,Alta,No dolarizado
Solidity,Semi-Senior,6076000,Baja,Dolarizado
Groovy,Senior,4227650,Baja,No dolarizado
Groovy,Senior,5300000,Baja,Dolarizado
Groovy,Junior,2500000,Alta,No dolarizado
Groovy,Junior,,Alta,Dolarizado
Groovy,Semi-Senior,4010000,Baja,No dolarizado
Groovy,Semi-Senior,4320000,Baja,Dolarizado
C#,Senior,3706650,Alta,No dolarizado
C#,Senior,4869400,Alta,Dolarizado
C#,Junior,1692500,Alta,No dolarizado
C#,Junior,1792500,Baja,Dolarizado
C#,Semi-Senior,2422000,Alta,No dolarizado
C#,Semi-Senior,3174000,Alta,Dolarizado
Dart,Senior,2987000,Baja,No dolarizado
Dart,Senior,5000000,Baja,Dolarizado
Dart,Junior,1791054,Baja,No dolarizado
Dart,Junior,,Alta,Dolarizado
Dart,Semi-Senior,2447732,Baja,No dolarizado
Dart,Semi-Senior,2200000,Baja,Dolarizado
Delphi,Senior,2850000,Baja,No dolarizado
Delphi,Senior,4495000,Baja,Dolarizado
Delphi,Junior,,Alta,No dolarizado
Delphi,Junior,,Alta,Dolarizado
Delphi,Semi-Senior,1688755,Alta,No dolarizado
Delphi,Semi-Senior,,Alta,Dolarizado
HTML,Senior,3500000,Alta,No dolarizado
HTML,Senior,5000000,Alta,Dolarizado
HTML,Junior,1700000,Alta,No dolarizado
HTML,Junior,1550000,Alta,Dolarizado
HTML,Semi-Senior,2500000,Alta,No dolarizado
HTML,Semi-Senior,3000000,Alta,Dolarizado
Apex,Senior,,Alta,No dolarizado
Apex,Senior,6625000,Baja,Dolarizado
Apex,Junior,,Alta,No dolarizado
Apex,Junior,,Alta,Dolarizado
Apex,Semi-Senior,2000000,Baja,No dolarizado
Apex,Semi-Senior,2728852,Baja,Dolarizado
PHP,Senior,3100000,Alta,No dolarizado
PHP,Senior,5000000,Alta,Dolarizado
PHP,Junior,1675550,Alta,No dolarizado
PHP,Junior,1460500,Baja,Dolarizado
PHP,Semi-Senior,2300000,Alta,No dolarizado
PHP,Semi-Senior,2432500,Alta,Dolarizado
Scala,Senior,6600000,Baja,No dolarizado
Scala,Senior,8000000,Baja,Dolarizado
Scala,Junior,,Alta,No dolarizado
Scala,Junior,,Alta,Dolarizado
Scala,Semi-Senior,3630000,Baja,No dolarizado
Scala,Semi-Senior,,Alta,Dolarizado
Perl,Senior,3346500,Baja,No dolarizado
Perl,Senior,5500000,Baja,Dolarizado
Perl,Junior,2530000,Alta,No dolarizado
Perl,Junior,,Alta,Dolarizado
Perl,Semi-Senior,2000000,Baja,No dolarizado
Perl,Semi-Senior,,Alta,Dolarizado
Swift,Senior,6211004,Baja,No dolarizado
Swift,Senior,5623744,Baja,Dolarizado
Swift,Junior,,Alta,No dolarizado
Swift,Junior,1935500,Baja,Dolarizado
Swift,Semi-Senior,3200000,Alta,No dolarizado
Swift,Semi-Senior,3412500,Baja,Dolarizado
R,Senior,3664000,Baja,No dolarizado
