Estudios,p50,Confianza,Dolarización
Universitario,2524507.0,Alta,No dolarizado
Doctorado,4200000.0,Baja,No dolarizado
Secundario,2051700.0,Alta,No dolarizado
Terciario,2200000.0,Alta,No dolarizado
Posdoctorado,5525000.0,Baja,No dolarizado
Maestría,3691307.0,Alta,No dolarizado
Posgrado/Especialización,3350000.0,Alta,No dolarizado
Universitario,3859000.0,Alta,Dolarizado
Doctorado,7075000.0,Baja,Dolarizado
Secundario,3075000.0,Baja,Dolarizado
Terciario,2950000.0,Alta,Dolarizado
Posdoctorado,7000000.0,Baja,Dolarizado
Maestría,4087150.0,Alta,Dolarizado
Posgrado/Especialización,3840000.0,Alta,Dolarizado
