Plataforma,Seniority,p50,Confianza,Dolarización
Figma,Senior,3600000,Alta,No dolarizado
Figma,Senior,2639000,Baja,Dolarizado
Figma,Junior,1900300,Baja,No dolarizado
Figma,Junior,1762000,Baja,Dolarizado
Figma,Semi-Senior,2075560,Baja,No dolarizado
Figma,Semi-Senior,1700000,Alta,Dolarizado
Mainframe,Senior,4267238,Alta,No dolarizado
Mainframe,Senior,4500000,Baja,Dolarizado
Mainframe,Junior,1732000,Baja,No dolarizado
Mainframe,Junior,,Alta,Dolarizado
Mainframe,Semi-Senior,3880000,Baja,No dolarizado
Mainframe,Semi-Senior,1934116,Alta,Dolarizado
Jira,Senior,3750000,Baja,No dolarizado
Jira,Senior,,Alta,Dolarizado
Jira,Junior,3225000,Baja,No dolarizado
Jira,Junior,,Alta,Dolarizado
Jira,Semi-Senior,3250000,Baja,No dolarizado
Jira,Semi-Senior,,Alta,Dolarizado
Azure,Senior,3952186,Alta,No dolarizado
Azure,Senior,4900000,Alta,Dolarizado
Azure,Junior,1700000,Alta,No dolarizado
Azure,Junior,1813495,Alta,Dolarizado
Azure,Semi-Senior,2600000,Alta,No dolarizado
Azure,Semi-Senior,3000000,Alta,Dolarizado
Google Cloud Platform,Senior,4012390,Alta,No dolarizado
Google Cloud Platform,Senior,5800000,Alta,Dolarizado
Google Cloud Platform,Junior,1990000,Alta,No dolarizado
Google Cloud Platform,Junior,2347999,Baja,Dolarizado
Google Cloud Platform,Semi-Senior,2845450,Alta,No dolarizado
Google Cloud Platform,Semi-Senior,3047658,Alta,Dolarizado
Windows Server,Senior,3400000,Alta,No dolarizado
Windows Server,Senior,4000000,Alta,Dolarizado
Windows Server,Junior,1621746,Alta,No dolarizado
Windows Server,Junior,2094836,Baja,Dolarizado
Windows Server,Semi-Senior,2379750,Alta,No dolarizado
Windows Server,Semi-Senior,3000000,Alta,Dolarizado
Databricks,Senior,4570000,Baja,No dolarizado
Databricks,Senior,5700000,Baja,Dolarizado
Databricks,Junior,1800000,Alta,No dolarizado
Databricks,Junior,,Alta,Dolarizado
Databricks,Semi-Senior,,Alta,No dolarizado
Databricks,Semi-Senior,3300000,Baja,Dolarizado
Amazon Web Services,Senior,4423840,Alta,No dolarizado
Amazon Web Services,Senior,6000000,Alta,Dolarizado
Amazon Web Services,Junior,2000000,Alta,No dolarizado
Amazon Web Services,Junior,1743500,Baja,Dolarizado
Amazon Web Services,Semi-Senior,3000000,Alta,No dolarizado
Amazon Web Services,Semi-Senior,3610481,Alta,Dolarizado
Microcontroladores,Senior,3600000,Baja,No dolarizado
Microcontroladores,Senior,6150000,Baja,Dolarizado
Microcontroladores,Junior,2100000,Baja,No dolarizado
Microcontroladores,Junior,4275000,Baja,Dolarizado
Microcontroladores,Semi-Senior,2500000,Alta,No dolarizado
Microcontroladores,Semi-Senior,3133481,Baja,Dolarizado
*BSD,Senior,2815685,Alta,No dolarizado
*BSD,Senior,6690000,Baja,Dolarizado
*BSD,Junior,,Alta,No dolarizado
*BSD,Junior,,Alta,Dolarizado
*BSD,Semi-Senior,1700000,Baja,No dolarizado
*BSD,Semi-Senior,,Alta,Dolarizado
Ninguna de las anteriores,Senior,3300000,Alta,No dolarizado
Ninguna de las anteriores,Senior,4827500,Alta,Dolarizado
Ninguna de las anteriores,Junior,1640232,Alta,No dolarizado
Ninguna de las anteriores,Junior,1642500,Alta,Dolarizado
