Rol,Seniority,Dolarización,p0,p25,p50,p75,p100,Confianza
Administrativo,Senior,No dolarizado,615000.0,997500.0,1380000.0,1762500.0,2145000.0,Baja
Architect,Junior,No dolarizado,2359752.24,2377876.12,2396000.0,5098000.0,7800000.0,Baja
Architect,Semi-Senior,Dolarizado,2300000.0,2750000.0,3200000.0,4200000.0,5200000.0,Baja
Architect,Semi-Senior,No dolarizado,4200000.0,4350000.0,4922958.0,5484437.0,5600000.0,Alta
Architect,Senior,Dolarizado,2000000.0,4700000.0,6000000.0,7000000.0,9000000.0,Alta
Architect,Senior,No dolarizado,1900000.0,3500000.0,4500000.0,5613000.0,8078449.0,Alta
BI Analyst / Data Analyst,Junior,Dolarizado,900000.0,1040000.0,1778000.0,1790000.0,2500000.0,Baja
BI Analyst / Data Analyst,Junior,No dolarizado,830000.0,1296003.5,1704159.0,2019450.0,4121500.0,Alta
BI Analyst / Data Analyst,Semi-Senior,Dolarizado,1190000.0,2200000.0,2464186.5,3085750.0,5200000.0,Alta
BI Analyst / Data Analyst,Semi-Senior,No dolarizado,1000000.0,1774750.0,2315051.48,3000000.0,5040000.0,Alta
BI Analyst / Data Analyst,Senior,Dolarizado,1520000.0,2600000.0,3899940.0,4620000.0,6413400.0,Baja
BI Analyst / Data Analyst,Senior,No dolarizado,680000.0,2375000.0,3300000.0,4921560.0,8000000.0,Alta
Business Analyst,Junior,Dolarizado,1200000.0,1275000.0,1350000.0,1425000.0,1500000.0,Alta
Business Analyst,Junior,No dolarizado,855000.0,1010955.5,1166911.0,1300955.5,1435000.0,Alta
Business Analyst,Semi-Senior,Dolarizado,1346664.0,1600000.0,1949500.0,2514813.25,3997456.0,Baja
Business Analyst,Semi-Senior,No dolarizado,1092000.0,1800000.0,2031805.0,2686751.0,3376350.0,Alta
Business Analyst,Senior,Dolarizado,1359000.0,2098000.0,2200000.0,3250000.0,3500000.0,Baja
Business Analyst,Senior,No dolarizado,1600000.0,2450000.0,2900000.0,3075000.0,5500000.0,Alta
