Rol,Porcentaje
Developer,34
SysAdmin / DevOps / SRE,11
Manager / Director,9
Technical Leader,7
QA / Tester,5
BI Analyst / Data Analyst,4
Data Engineer,3
Architect,3
Infosec,2
UX/UI Designer,2
Business Analyst,2
Data Scientist,2
Consultant,2
HelpDesk,2
Product Owner,2
Networking,1
Designer,1
Recruiter,1
HRBP,1
DBA,1
Sales / Pre-Sales,1
Functional Analyst,1
Scrum Master,1
Technical Support,1
UX Researcher,0
Finance,0
AI Engineer,0
Technical Writer,0
Auditor,0
Docente,0
Otros,2
