Universidad,Porcentaje
UTN - Universidad Tecnológica Nacional,28
UBA - Universidad de Buenos Aires,18
UADE - Universidad Argentina De la Empresa,5
UNLP - Universidad Nacional de La Plata,4
UNC - Universidad Nacional de Córdoba,4
UNLaM - Universidad Nacional de La Matanza,3
UAI - Universidad Abierta Interamericana,3
UP - Universidad de Palermo,3
Universidad Siglo 21,2
ORT,2
UNR - Universidad Nacional de Rosario,2
UNQ - Universidad Nacional de Quilmes,2
ISTEA - Instituto Superior Tecnológico Empresarial Argentino,2
UNSAM - Universidad de San Martín,2
UCAECE - Centro de Altos Estudios en Ciencias Exactas,1
UNTREF - Universidad Tres de Febrero,1
UNGS - Universidad Nacional de General Sarmiento,1
UNS - Universidad Nacional del Sur,1
UNL - Universidad Nacional del Litoral,1
UNICEN - Universidad Nacional del Centro de la Provincia de Buenos Aires,1
UNCUYO - Universidad Nacional de Cuyo,1
UNLA - Universidad Nacional de Lanús,1
ITBA Instituto Tecnológico de Buenos Aires,1
UNCOMA - Universidad Nacional del Comahu,1
UCA - Universidad Católica Argentina,1
UNER - Universidad Nacional de Entre Ríos,1
UM - Universidad de Morón,1
UB - Universidad de Belgrano,1
UNNOBA - Universidad Nacional del Noroeste de la Provincia de Buenos Aires,1
UNNNE - Universidad Nacional del Nordeste,0
UNRC - Universidad Nacional de Río Cuarto,0
UNLaR - Universidad Nacional De La Rioja,0
UADER - Universidad Autónoma de Entre Ríos,0
USAL - Universidad del Salvador,0
UK - Universidad Kennedy,0
UCASAL - Universidad Católica de Salta,0
IUA - Instituto Universitario Aeronáutico,0
UCES - Universidad de Ciencias Empresariales y Sociales,0
ESBA - Escuela Superior Buenos Aires,0
UNJu - Universidad Nacional de Jujuy,0
Otros,1
