name,estado,porcentaje
UTN - Universidad Tecnológica Nacional,Completo,4
UTN - Universidad Tecnológica Nacional,En curso,2
UTN - Universidad Tecnológica Nacional,Incompleto,2
UBA - Universidad de Buenos Aires,Completo,3
UBA - Universidad de Buenos Aires,En curso,2
UBA - Universidad de Buenos Aires,Incompleto,1
UADE - Universidad Argentina De la Empresa,Completo,1
UADE - Universidad Argentina De la Empresa,En curso,0
UADE - Universidad Argentina De la Empresa,Incompleto,0
UNC - Universidad Nacional de Córdoba,Completo,1
UNC - Universidad Nacional de Córdoba,En curso,0
UNC - Universidad Nacional de Córdoba,Incompleto,0
UNLP - Universidad Nacional de La Plata,Completo,1
UNLP - Universidad Nacional de La Plata,En curso,0
UNLP - Universidad Nacional de La Plata,Incompleto,0
UNLaM - Universidad Nacional de La Matanza,Completo,1
UNLaM - Universidad Nacional de La Matanza,En curso,0
UNLaM - Universidad Nacional de La Matanza,Incompleto,0
ORT,Completo,1
ORT,En curso,0
ORT,Incompleto,0
UAI - Universidad Abierta Interamericana,Completo,0
UAI - Universidad Abierta Interamericana,En curso,0
UAI - Universidad Abierta Interamericana,Incompleto,0
UP - Universidad de Palermo,Completo,0
UP - Universidad de Palermo,En curso,0
UP - Universidad de Palermo,Incompleto,0
ISTEA - Instituto Superior Tecnológico Empresarial Argentino,Completo,0
ISTEA - Instituto Superior Tecnológico Empresarial Argentino,En curso,0
ISTEA - Instituto Superior Tecnológico Empresarial Argentino,Incompleto,0
UNR - Universidad Nacional de Rosario,Completo,0
UNR - Universidad Nacional de Rosario,En curso,0
UNR - Universidad Nacional de Rosario,Incompleto,0
Universidad Siglo 21,Completo,0
Universidad Siglo 21,En curso,0
Universidad Siglo 21,Incompleto,0
UCAECE - Centro de Altos Estudios en Ciencias Exactas,Completo,0
UCAECE - Centro de Altos Estudios en Ciencias Exactas,En curso,0
UCAECE - Centro de Altos Estudios en Ciencias Exactas,Incompleto,0
UNICEN - Universidad Nacional del Centro de la Provincia de Buenos Aires,Completo,0
UNICEN - Universidad Nacional del Centro de la Provincia de Buenos Aires,En curso,0
UNICEN - Universidad Nacional del Centro de la Provincia de Buenos Aires,Incompleto,0
ITBA Instituto Tecnológico de Buenos Aires,Completo,0
ITBA Instituto Tecnológico de Buenos Aires,En curso,0
ITBA Instituto Tecnológico de Buenos Aires,Incompleto,0
UNSAM - Universidad de San Martín,Completo,0
UNSAM - Universidad de San Martín,En curso,0
UNSAM - Universidad de San Martín,Incompleto,0
UNQ - Universidad Nacional de Quilmes,Completo,0
UNQ - Universidad Nacional de Quilmes,En curso,0
UNQ - Universidad Nacional de Quilmes,Incompleto,0
UNCOMA - Universidad Nacional del Comahu,Completo,0
UNCOMA - Universidad Nacional del Comahu,En curso,0
UNCOMA - Universidad Nacional del Comahu,Incompleto,0
UNTREF - Universidad Tres de Febrero,Completo,0
UNTREF - Universidad Tres de Febrero,En curso,0
UNTREF - Universidad Tres de Febrero,Incompleto,0
UNS - Universidad Nacional del Sur,Completo,0
UNS - Universidad Nacional del Sur,En curso,0
UNS - Universidad Nacional del Sur,Incompleto,0
UNCUYO - Universidad Nacional de Cuyo,Completo,0
UNCUYO - Universidad Nacional de Cuyo,En curso,0
UNCUYO - Universidad Nacional de Cuyo,Incompleto,0
UB - Universidad de Belgrano,Completo,0
UB - Universidad de Belgrano,En curso,0
UB - Universidad de Belgrano,Incompleto,0
UNER - Universidad Nacional de Entre Ríos,Completo,0
UNER - Universidad Nacional de Entre Ríos,En curso,0
UNER - Universidad Nacional de Entre Ríos,Incompleto,0
UM - Universidad de Morón,Completo,0
UM - Universidad de Morón,En curso,0
UM - Universidad de Morón,Incompleto,0
UNL - Universidad Nacional del Litoral,Completo,0
UNL - Universidad Nacional del Litoral,En curso,0
UNL - Universidad Nacional del Litoral,Incompleto,0
UADER - Universidad Autónoma de Entre Ríos,Completo,0
UADER - Universidad Autónoma de Entre Ríos,En curso,0
UADER - Universidad Autónoma de Entre Ríos,Incompleto,0
UCA - Universidad Católica Argentina,Completo,0
UCA - Universidad Católica Argentina,En curso,0
UCA - Universidad Católica Argentina,Incompleto,0
UNRC - Universidad Nacional de Río Cuarto,Completo,0
UNRC - Universidad Nacional de Río Cuarto,En curso,0
UNRC - Universidad Nacional de Río Cuarto,Incompleto,0
IUA - Instituto Universitario Aeronáutico,Completo,0
IUA - Instituto Universitario Aeronáutico,En curso,0
IUA - Instituto Universitario Aeronáutico,Incompleto,0
UCES - Universidad de Ciencias Empresariales y Sociales,Completo,0
UCES - Universidad de Ciencias Empresariales y Sociales,En curso,0
UCES - Universidad de Ciencias Empresariales y Sociales,Incompleto,0
UK - Universidad Kennedy,Completo,0
UK - Universidad Kennedy,En curso,0
UK - Universidad Kennedy,Incompleto,0
UNLaR - Universidad Nacional De La Rioja,Completo,0
UNLaR - Universidad Nacional De La Rioja,En curso,0
UNLaR - Universidad Nacional De La Rioja,Incompleto,0
USAL - Universidad del Salvador,Completo,0
USAL - Universidad del Salvador,En curso,0
USAL - Universidad del Salvador,Incompleto,0
UNLA - Universidad Nacional de Lanús,Completo,0
UNLA - Universidad Nacional de Lanús,En curso,0
UNLA - Universidad Nacional de Lanús,Incompleto,0
UNNOBA - Universidad Nacional del Noroeste de la Provincia de Buenos Aires,Completo,0
UNNOBA - Universidad Nacional del Noroeste de la Provincia de Buenos Aires,En curso,0
UNNOBA - Universidad Nacional del Noroeste de la Provincia de Buenos Aires,Incompleto,0
ESBA - Escuela Superior Buenos Aires,Completo,0
ESBA - Escuela Superior Buenos Aires,En curso,0
ESBA - Escuela Superior Buenos Aires,Incompleto,0
UNJu - Universidad Nacional de Jujuy,Completo,0
UNJu - Universidad Nacional de Jujuy,En curso,0
UNJu - Universidad Nacional de Jujuy,Incompleto,0
UNSL - Universidad Nacional de San Luis,Completo,0
UNSL - Universidad Nacional de San Luis,En curso,0
UNSL - Universidad Nacional de San Luis,Incompleto,0
UNGS - Universidad Nacional de General Sarmiento,Completo,0
UNGS - Universidad Nacional de General Sarmiento,En curso,0
UNGS - Universidad Nacional de General Sarmiento,Incompleto,0
UCASAL - Universidad Católica de Salta,Completo,0
UCASAL - Universidad Católica de Salta,En curso,0
UCASAL - Universidad Católica de Salta,Incompleto,0
Otros,Completo,0
Otros,En curso,0
Otros,Incompleto,0
