fecha,value
27/02/2026,"1419,54"
26/02/2026,"1437,58"
25/02/2026,"1425,86"
24/02/2026,"1405,08"
23/02/2026,"1394,84"
20/02/2026,"1402,08"
19/02/2026,"1409,07"
18/02/2026,"1415,69"
17/02/2026,"1423,60"
16/02/2026,"1423,60"
13/02/2026,"1423,60"
12/02/2026,"1417,81"
11/02/2026,"1431,68"
10/02/2026,"1432,85"
06/02/2026,"1447,99"
05/02/2026,"1460,80"
04/02/2026,"1457,29"
03/02/2026,"1460,38"
02/02/2026,"1450,23"
30/01/2026,"1460,32"
29/01/2026,"1458,88"
28/01/2026,"1462,35"
27/01/2026,"1464,66"
26/01/2026,"1468,93"
23/01/2026,"1469,38"
22/01/2026,"1458,81"
21/01/2026,"1463,70"
20/01/2026,"1471,72"
19/01/2026,"1466,70"
16/01/2026,"1472,15"
15/01/2026,"1473,83"
14/01/2026,"1481,74"
13/01/2026,"1487,11"
12/01/2026,"1487,89"
09/01/2026,"1489,42"
08/01/2026,"1494,11"
07/01/2026,"1494,56"
06/01/2026,"1498,06"
05/01/2026,"1501,49"
02/01/2026,"1506,21"
01/01/2026,"1480,74"
31/12/2025,"1480,74"
30/12/2025,"1480,74"
29/12/2025,"1484,35"
26/12/2025,"1486,11"
25/12/2025,"1481,63"
24/12/2025,"1481,63"
23/12/2025,"1479,44"
22/12/2025,"1493,06"
19/12/2025,"1494,62"
18/12/2025,"1498,58"
17/12/2025,"1514,14"
16/12/2025,"1504,30"
15/12/2025,"1492,01"
12/12/2025,"1478,73"
11/12/2025,"1476,11"
10/12/2025,"1471,35"
09/12/2025,"1468,72"
08/12/2025,"1474,54"
05/12/2025,"1474,54"
04/12/2025,"1470,00"
03/12/2025,"1470,30"
02/12/2025,"1477,35"
01/12/2025,"1475,23"
28/11/2025,"1476,42"
27/11/2025,"1481,82"
26/11/2025,"1487,55"
25/11/2025,"1480,68"
24/11/2025,"1460,35"
21/11/2025,"1460,35"
20/11/2025,"1452,76"
19/11/2025,"1441,13"
18/11/2025,"1440,51"
17/11/2025,"1448,93"
14/11/2025,"1451,17"
13/11/2025,"1462,04"
12/11/2025,"1451,89"
11/11/2025,"1455,43"
10/11/2025,"1458,18"
07/11/2025,"1454,69"
06/11/2025,"1480,23"
05/11/2025,"1478,74"
04/11/2025,"1495,58"
03/11/2025,"1500,47"
31/10/2025,"1477,46"
30/10/2025,"1470,60"
29/10/2025,"1475,21"
28/10/2025,"1477,87"
27/10/2025,"1440,79"
24/10/2025,"1549,44"
23/10/2025,"1533,70"
22/10/2025,"1592,99"
21/10/2025,"1591,57"
20/10/2025,"1552,82"
17/10/2025,"1541,49"
16/10/2025,"1473,52"
15/10/2025,"1441,77"
14/10/2025,"1454,99"
13/10/2025,"1409,92"
10/10/2025,"1440,81"
09/10/2025,"1440,81"
08/10/2025,"1527,95"
07/10/2025,"1533,95"
06/10/2025,"1499,11"
03/10/2025,"1498,81"
02/10/2025,"1500,00"
01/10/2025,"1523,00"
30/09/2025,"1494,02"
29/09/2025,"1454,91"
26/09/2025,"1431,44"
25/09/2025,"1380,13"
24/09/2025,"1369,47"
23/09/2025,"1405,02"
22/09/2025,"1427,51"
19/09/2025,"1551,03"
18/09/2025,"1535,40"
17/09/2025,"1486,47"
16/09/2025,"1469,91"
15/09/2025,"1488,06"
12/09/2025,"1468,46"
11/09/2025,"1451,12"
10/09/2025,"1428,49"
09/09/2025,"1430,74"
08/09/2025,"1434,92"
05/09/2025,"1383,33"
04/09/2025,"1378,31"
03/09/2025,"1370,14"
02/09/2025,"1365,62"
01/09/2025,"1376,49"
29/08/2025,"1357,34"
28/08/2025,"1344,05"
27/08/2025,"1358,27"
26/08/2025,"1352,46"
25/08/2025,"1362,22"
22/08/2025,"1329,08"
21/08/2025,"1321,87"
20/08/2025,"1309,60"
19/08/2025,"1297,02"
18/08/2025,"1301,06"
15/08/2025,"1308,13"
14/08/2025,"1308,13"
13/08/2025,"0"
12/08/2025,"1323,46"
11/08/2025,"1324,65"
08/08/2025,"1332,23"
07/08/2025,"1327,80"
06/08/2025,"1334,88"
05/08/2025,"1344,27"
04/08/2025,"1356,15"
01/08/2025,"1357,56"
31/07/2025,"1359,76"
30/07/2025,"1322,36"
29/07/2025,"1294,45"
28/07/2025,"1296,25"
25/07/2025,"1285,98"
24/07/2025,"1272,91"
23/07/2025,"1264,65"
22/07/2025,"1260,71"
21/07/2025,"1281,33"
18/07/2025,"1292,87"
17/07/2025,"1280,96"
16/07/2025,"1269,99"
15/07/2025,"1276,07"
14/07/2025,"1295,84"
11/07/2025,"1269,10"
10/07/2025,"1267,87"
09/07/2025,"1259,09"
08/07/2025,"1259,09"
07/07/2025,"1276,44"
04/07/2025,"1246,92"
03/07/2025,"1238,37"
02/07/2025,"1238,60"
01/07/2025,"1232,83"
30/06/2025,"1211,10"
27/06/2025,"1197,54"
26/06/2025,"1199,28"
25/06/2025,"1196,43"
24/06/2025,"1184,49"
23/06/2025,"1185,15"
20/06/2025,"1174,03"
19/06/2025,"1174,03"
18/06/2025,"1167,07"
17/06/2025,"1190,22"
16/06/2025,"1191,06"
13/06/2025,"1191,74"
12/06/2025,"1186,51"
11/06/2025,"1186,93"
10/06/2025,"1189,44"
09/06/2025,"1192,16"
06/06/2025,"1192,40"
05/06/2025,"1192,38"
